;sl_cup_glmnet_2.coef;sl_cup_glmnet_2.cvRisk
glmnet_0_600_FALSE_All;0;3.93937366463079
glmnet_0.1_600_FALSE_All;0;3.91763075666357
glmnet_0.2_600_FALSE_All;0;3.90825323272816
glmnet_0.3_600_FALSE_All;0;3.86260186432424
glmnet_0.4_600_FALSE_All;0;3.90288426507413
glmnet_0.5_600_FALSE_All;0;3.91626191675375
glmnet_0.6_600_FALSE_All;0;3.92453552761223
glmnet_0.7_600_FALSE_All;0;3.86869953261807
glmnet_0.8_600_FALSE_All;0;3.89343415915965
glmnet_0.9_600_FALSE_All;0;3.89572734746252
glmnet_1_600_FALSE_All;0;3.87388336895603
glmnet_0_700_FALSE_All;0;3.93546227286904
glmnet_0.1_700_FALSE_All;0;3.91464626865548
glmnet_0.2_700_FALSE_All;0;3.92127399978191
glmnet_0.3_700_FALSE_All;0;3.91297929543343
glmnet_0.4_700_FALSE_All;0;3.88620574698117
glmnet_0.5_700_FALSE_All;0;3.90734356065833
glmnet_0.6_700_FALSE_All;0;3.89888205813788
glmnet_0.7_700_FALSE_All;0;3.91860974196321
glmnet_0.8_700_FALSE_All;0;3.87604892702052
glmnet_0.9_700_FALSE_All;0;3.91518323418894
glmnet_1_700_FALSE_All;0;3.9217799800423
glmnet_0_800_FALSE_All;0;3.95162293511449
glmnet_0.1_800_FALSE_All;0;3.92491744850253
glmnet_0.2_800_FALSE_All;0;3.90023417954691
glmnet_0.3_800_FALSE_All;0;3.90475650959917
glmnet_0.4_800_FALSE_All;0;3.90211194682379
glmnet_0.5_800_FALSE_All;0;3.90864608134878
glmnet_0.6_800_FALSE_All;0;3.91583044231142
glmnet_0.7_800_FALSE_All;0;3.89732969005245
glmnet_0.8_800_FALSE_All;0;3.91219318539026
glmnet_0.9_800_FALSE_All;0;3.91031238112244
glmnet_1_800_FALSE_All;0;3.88086270375288
glmnet_0_900_FALSE_All;0;3.92300407065466
glmnet_0.1_900_FALSE_All;0;3.86705428912683
glmnet_0.2_900_FALSE_All;0;3.90964793655377
glmnet_0.3_900_FALSE_All;0;3.91360225087508
glmnet_0.4_900_FALSE_All;0;3.88569184532947
glmnet_0.5_900_FALSE_All;0;3.90255803670945
glmnet_0.6_900_FALSE_All;0;3.88393424748465
glmnet_0.7_900_FALSE_All;0;3.88443560008849
glmnet_0.8_900_FALSE_All;0.0504004088820727;3.85859796175815
glmnet_0.9_900_FALSE_All;0;3.8806786133836
glmnet_1_900_FALSE_All;0;3.89926808509474
glmnet_0_1000_FALSE_All;0;3.94927186776259
glmnet_0.1_1000_FALSE_All;0;3.87434394249694
glmnet_0.2_1000_FALSE_All;0;3.87606715490285
glmnet_0.3_1000_FALSE_All;0;3.91833579663712
glmnet_0.4_1000_FALSE_All;0;3.89518235746734
glmnet_0.5_1000_FALSE_All;0;3.92316736672058
glmnet_0.6_1000_FALSE_All;0;3.86643920060664
glmnet_0.7_1000_FALSE_All;0;3.87272219022209
glmnet_0.8_1000_FALSE_All;0;3.88724765410934
glmnet_0.9_1000_FALSE_All;0;3.89889002847161
glmnet_1_1000_FALSE_All;0;3.88947719503657
