,sl_cup_glmnet_1.coef,sl_cup_glmnet_1.cvRisk,,,
glmnet_0.9_400_FALSE_All,0,2.44881668634815,,,
glmnet_0.6_900_FALSE_All,0,2.44990605947051,,,
glmnet_1_1000_FALSE_All,0,2.45029980203813,,,
glmnet_0.2_900_FALSE_All,0,2.45107435019399,,,
glmnet_0_800_FALSE_All,0,2.45153655236201,,,
glmnet_0.9_800_FALSE_All,0,2.4519693863503,,,
glmnet_0.7_800_FALSE_All,0,2.45203901948815,,,
glmnet_0.5_800_FALSE_All,0,2.45215945571214,,,
glmnet_0.3_1000_FALSE_All,0,2.45241089455993,,,
glmnet_0.4_900_FALSE_All,0,2.45436758907815,,,
glmnet_0_700_FALSE_All,0,2.4577390676443,,,
glmnet_0.2_1000_FALSE_All,0,2.45860684017945,,,
glmnet_0.8_1000_FALSE_All,0,2.45900849281489,,,
glmnet_1_800_FALSE_All,0,2.46104398658492,,,
glmnet_0_100_FALSE_All,0,2.46396319737289,,,
glmnet_0.6_1000_FALSE_All,0,2.46430476325755,,,
glmnet_0.6_600_FALSE_All,0,2.46628083332278,,,
glmnet_0_500_FALSE_All,0,2.46669806191681,,,
glmnet_0_200_FALSE_All,0,2.4669007302631,,,
glmnet_0_900_FALSE_All,0,2.47134984922232,,,
glmnet_0_400_FALSE_All,0,2.47676856331541,,,
glmnet_0_300_FALSE_All,0,2.48219141882357,,,
glmnet_0_600_FALSE_All,0,2.48321071960852,,,
glmnet_0_1000_FALSE_All,0,2.49415370223624,,,
